#Note 1: The lat. lon. and depth are corresponding to the centroid location of each subfault
#Note 2: Asymetric cosine functions are used to approximate the slip rate functions (Ji, et al., 2003JGR)
#Total number of fault_segments=     1
#Fault_segment=   1 nx(Along-strike)=  15 Dx= 20.00 km ny(downdip)=  14 Dy= 16.00 km
#+++Boundary of Fault_segment+++     1
#Lon.    Lat.    Depth
       95.2389         1.9363        3.4075
       93.4541         3.7181        3.4075
       94.7510	       5.0127        46.6531
       96.5357 	       3.2310        46.6531
       95.2389         1.9363        3.4075
#Lat. 	     Lon.      depth 	 slip     rake 	    strike	dip 
    1.9363   95.2389   3.4075    1.6727   66.9309   315.00000	12.00000
    2.0636   95.1114   3.4075    1.9116   66.5734   315.00000	12.00000
    2.1908   94.9839   3.4075    0.8661   70.9693   315.00000	12.00000
    2.3181   94.8564   3.4075    0.0980   75.9351   315.00000	12.00000
    2.4454   94.7289   3.4075    0.4615  117.4263   315.00000	12.00000
    2.5726   94.6015   3.4075    0.8534  119.8912   315.00000	12.00000
    2.6999   94.4740   3.4075    1.3855  107.1931   315.00000	12.00000
    2.8272   94.3465   3.4075    2.3508   65.8852   315.00000	12.00000
    2.9544   94.2190   3.4075    2.3443   61.3238   315.00000	12.00000
    3.0817   94.0915   3.4075    1.2965   61.9598   315.00000	12.00000
    3.2090   93.9641   3.4075    0.6642   60.3567   315.00000	12.00000
    3.3363   93.8366   3.4075    1.9804   61.3632   315.00000	12.00000
    3.4635   93.7091   3.4075    3.6505   61.1649   315.00000	12.00000
    3.5908   93.5816   3.4075    3.6131   61.5703   315.00000	12.00000
    3.7181   93.4541   3.4075    2.6251   60.6672   315.00000	12.00000
    2.0359   95.3386   6.7341    1.4772   63.3157   315.00000	12.00000
    2.1632   95.2111   6.7341    1.4111   60.9868   315.00000	12.00000
    2.2904   95.0837   6.7341    0.9882   60.0986   315.00000	12.00000
    2.4177   94.9562   6.7341    0.0706  111.2915   315.00000	12.00000
    2.5450   94.8287   6.7341    0.8474  118.1836   315.00000	12.00000
    2.6722   94.7012   6.7341    1.9566  117.8953   315.00000	12.00000
    2.7995   94.5737   6.7341    3.5747  112.6179   315.00000	12.00000
    2.9268   94.4463   6.7341    3.9083   98.9402   315.00000	12.00000
    3.0540   94.3188   6.7341    3.9845   72.0476   315.00000	12.00000
    3.1813   94.1913   6.7341    2.7077   63.3434   315.00000	12.00000
    3.3086   94.0638   6.7341    0.9086   67.2115   315.00000	12.00000
    3.4358   93.9363   6.7341    2.9788   86.9129   315.00000	12.00000
    3.5631   93.8089   6.7341    5.6364   68.8455   315.00000	12.00000
    3.6904   93.6814   6.7341    5.8253   71.4649   315.00000	12.00000
    3.8177   93.5539   6.7341    3.9255   83.2896   315.00000	12.00000
    2.1355   95.4384  10.0607    1.3805   60.8478   315.00000	12.00000
    2.2627   95.3109  10.0607    1.1071   61.6508   315.00000	12.00000
    2.3900   95.1834  10.0607    0.9899   60.3962   315.00000	12.00000
    2.5173   95.0559  10.0607    0.0007   91.1897   315.00000	12.00000
    2.6446   94.9285  10.0607    1.4963  114.1460   315.00000	12.00000
    2.7718   94.8010  10.0607    3.4454  109.0183   315.00000	12.00000
    2.8991   94.6735  10.0607    5.3879  111.5537   315.00000	12.00000
